-112.5000 43.0000 0.0000 2.6769
-112.5000 43.0000 1.0000 2.7695
-112.5000 43.0000 2.0000 2.8751
-112.5000 43.0000 3.0000 2.9795
-112.5000 43.0000 4.0000 3.0868
-112.5000 43.0000 5.0000 3.1709
-112.5000 43.0000 6.0000 3.2452
-112.5000 43.0000 7.0000 3.3062
-112.5000 43.0000 8.0000 3.3590
-112.5000 43.0000 9.0000 3.4047
-112.5000 43.0000 10.0000 3.4449
-112.5000 43.0000 11.0000 3.4769
-112.5000 43.0000 12.0000 3.5058
-112.5000 43.0000 13.0000 3.5316
-112.5000 43.0000 14.0000 3.5551
-112.5000 43.0000 15.0000 3.5757
-112.5000 43.0000 16.0000 3.5953
-112.5000 43.0000 17.0000 3.6132
-112.5000 43.0000 18.0000 3.6313
-112.5000 43.0000 19.0000 3.6481
-112.5000 43.0000 20.0000 3.6659
-112.5000 43.0000 21.0000 3.6823
-112.5000 43.0000 22.0000 3.6985
-112.5000 43.0000 23.0000 3.7136
-112.5000 43.0000 24.0000 3.7272
-112.5000 43.0000 25.0000 3.7393
-112.5000 43.0000 26.0000 3.7502
-112.5000 43.0000 27.0000 3.7598
-112.5000 43.0000 28.0000 3.7684
-112.5000 43.0000 29.0000 3.7761
-112.5000 43.0000 30.0000 3.7834
-112.5000 43.0000 31.0000 3.7894
-112.5000 43.0000 32.0000 3.7949
-112.5000 43.0000 33.0000 3.7997
-112.5000 43.0000 34.0000 3.8033
-112.5000 43.0000 35.0000 3.8058
-112.5000 43.0000 36.0000 3.8098
-112.5000 43.0000 37.0000 3.8232
-112.5000 43.0000 38.0000 3.8407
-112.5000 43.0000 39.0000 3.8637
-112.5000 43.0000 40.0000 3.8863
-112.5000 43.0000 41.0000 3.9052
-112.5000 43.0000 42.0000 3.9201
-112.5000 43.0000 43.0000 3.9313
-112.5000 43.0000 44.0000 3.9389
-112.5000 43.0000 45.0000 3.9393
-112.5000 43.0000 46.0000 3.9386
-112.5000 43.0000 47.0000 3.9398
-112.5000 43.0000 48.0000 3.9409
-112.5000 43.0000 49.0000 3.9410
-112.5000 43.0000 50.0000 3.9407
-112.4000 43.0000 0.0000 2.7175
-112.4000 43.0000 1.0000 2.7984
-112.4000 43.0000 2.0000 2.8964
-112.4000 43.0000 3.0000 3.0032
-112.4000 43.0000 4.0000 3.1082
-112.4000 43.0000 5.0000 3.1955
-112.4000 43.0000 6.0000 3.2691
-112.4000 43.0000 7.0000 3.3299
-112.4000 43.0000 8.0000 3.3835
-112.4000 43.0000 9.0000 3.4264
-112.4000 43.0000 10.0000 3.4659
-112.4000 43.0000 11.0000 3.4962
-112.4000 43.0000 12.0000 3.5265
-112.4000 43.0000 13.0000 3.5511
-112.4000 43.0000 14.0000 3.5729
-112.4000 43.0000 15.0000 3.5910
-112.4000 43.0000 16.0000 3.6081
-112.4000 43.0000 17.0000 3.6246
-112.4000 43.0000 18.0000 3.6412
-112.4000 43.0000 19.0000 3.6567
-112.4000 43.0000 20.0000 3.6719
-112.4000 43.0000 21.0000 3.6853
-112.4000 43.0000 22.0000 3.6991
-112.4000 43.0000 23.0000 3.7117
-112.4000 43.0000 24.0000 3.7237
-112.4000 43.0000 25.0000 3.7336
-112.4000 43.0000 26.0000 3.7416
