time[yrs],velocity[m/yr]
2006.48,-0.00045
2006.981,0.00586
2007.481,0.0057
2007.981,-0.00034
2008.483,-0.00155
2008.982,-0.00756
2009.481,-0.00723
2009.981,0.0017
2010.436,0.00271
2010.964,-2e-05
2011.49,0.00189
2012.017,-0.00136
2012.461,-0.00076
2012.974,0.00278
2013.444,0.00106
2013.991,-0.00111
2014.496,-0.00188
2014.992,-7e-05
2015.425,-0.00016
2015.941,-5e-05
2016.441,-0.00017
2017.04,-0.00194
2017.494,-0.00054
2018.081,0.00297
2018.49,0.00338
2019.052,0.00278
2019.478,0.00245
2020.009,0.00183
2020.492,0.00289
2021.004,0.004
2021.481,0.00331
2021.981,0.00187
2022.482,9e-05
2022.982,-0.00037
2023.481,0.00031
2023.968,0.0017
2024.464,0.00226
2024.814,0.00176
