time[yrs],velocity[m/yr]
2009.478,0.00063
2009.979,0.00043
2010.479,0.00103
2010.979,0.00169
2011.48,0.00321
2011.979,0.00477
2012.479,0.00444
2012.979,0.00331
2013.478,0.00163
2013.979,0.00055
2014.479,0.00138
2014.979,0.00274
2015.48,0.00279
2015.979,0.00262
2016.479,0.00139
2016.979,-7e-05
2017.478,0.00042
2017.979,0.00167
2018.479,0.0019
2018.979,0.00186
2019.48,0.0017
2019.979,0.00253
2020.479,0.0045
2020.979,0.00529
2021.478,0.00496
2021.979,0.00373
2022.466,0.00146
2022.977,0.00103
2023.489,0.00159
2023.988,0.00162
2024.461,0.00138
2024.812,0.00078
