time[yrs],velocity[m/yr]
2009.8,-0.00713
2010.0,-0.00751
2010.2,-0.00803
2010.4,-0.00866
2010.6,-0.00952
2010.8,-0.01075
2011.0,-0.01078
2011.2,-0.00976
2011.4,-0.00957
2014.0,0.0017
2014.2,0.00423
2014.4,0.00865
2014.6,0.01214
2014.8,0.01355
2015.0,0.01283
2015.2,0.01141
2015.4,0.00924
2015.6,0.00609
2015.8,0.00215
2016.0,-0.00299
2016.2,-0.00763
2016.4,-0.01116
2016.6,-0.0149
2016.8,-0.01742
2017.0,-0.0153
2017.2,-0.01211
2017.4,-0.01027
2017.6,-0.00807
2017.8,-0.00608
2018.0,-0.00506
2018.2,-0.00492
2018.4,-0.00553
2018.6,-0.00641
2018.8,-0.00624
2019.0,-0.0076
2019.2,-0.01036
2019.4,-0.01134
2019.6,-0.01033
2019.8,-0.01018
2020.0,-0.00991
2020.2,-0.00762
2020.4,-0.00553
2020.6,-0.00535
2020.8,-0.00752
2021.0,-0.01144
2021.2,-0.01557
2021.4,-0.02058
2021.6,-0.02468
2021.8,-0.0245
2022.0,-0.02099
2022.2,-0.01706
2022.4,-0.01356
2022.6,-0.01154
2022.8,-0.01089
2023.0,-0.01048
2023.2,-0.0124
2023.4,-0.01432
2023.6,-0.0142
2023.8,-0.01338
2024.0,-0.01297
2024.2,-0.0123
2024.4,-0.01071
2024.6,-0.00998
