time[yrs],velocity[m/yr]
2008.578,-0.00126
2009.082,-0.00061
2009.578,-0.00054
2010.062,-0.00123
2010.578,-0.00156
2011.09,-0.00164
2011.604,0.00097
2012.078,0.00301
2012.576,0.00268
2013.061,0.00265
2013.577,0.00124
2014.093,0.00026
2014.609,0.00215
2015.079,0.00226
2015.578,0.00132
2016.037,0.00067
2016.567,-0.00245
2017.098,-0.00376
2017.572,-0.00233
2018.007,-0.00074
2018.581,-2e-05
2019.15,-0.00011
2019.644,0.00024
2020.078,0.00101
2020.578,0.00302
2021.079,0.004
2021.578,0.00414
2022.056,0.00378
2022.574,0.0019
2023.089,0.00168
2023.605,0.00194
2024.068,0.00248
2024.563,0.00161
2024.863,0.00037
