time[yrs],velocity[m/yr]
2008.6,-0.00508
2008.8,-0.00479
2009.0,-0.00432
2009.2,-0.00358
2009.4,-0.00266
2009.6,-0.00184
2009.8,-0.00105
2010.0,-0.0012
2010.2,-0.0019
2010.4,-0.00299
2010.6,-0.00401
2010.8,-0.00403
2011.0,-0.00298
2011.2,-0.00124
2011.4,0.00082
2011.6,0.00299
2011.8,0.00426
2012.0,0.00408
2012.2,0.00312
2012.4,0.00264
2012.6,0.00192
2012.8,0.00059
2013.0,-0.00019
2013.2,-0.00017
2013.4,-0.00033
2013.6,-0.00091
2013.8,-0.00126
2014.0,-0.00167
2014.2,-0.00224
2014.4,-0.00253
2014.6,-0.00223
2014.8,-0.00161
2015.0,-0.00052
2015.2,0.00094
2015.4,0.00171
2015.6,0.00205
2015.8,0.0017
2016.0,0.00023
2016.2,-0.00198
2016.4,-0.00383
2016.6,-0.00494
2016.8,-0.00566
2017.0,-0.00494
2017.2,-0.00348
2017.4,-0.00192
2017.6,-0.00031
2017.8,0.00095
2018.0,0.00168
2018.2,0.00168
2018.4,0.00198
2018.6,0.0016
2018.8,-0.00043
2019.0,-0.00327
2019.2,-0.0044
2019.4,-0.00497
2019.6,-0.00789
2019.8,-0.0089
2020.0,-0.00662
2020.2,-0.00445
2020.4,-0.0037
2020.6,-0.00028
2020.8,0.00315
2021.0,0.00282
2021.2,0.00218
2021.4,0.00227
2021.6,0.00216
2021.8,0.00133
2022.0,0.00073
2022.2,-0.00031
2022.4,-0.00166
2022.6,-0.00226
2022.8,-0.00257
2023.0,-0.00271
2023.2,-0.00162
2023.4,0.00027
2023.6,0.00144
2023.8,0.00248
2024.0,0.00351
2024.2,0.00251
2024.4,-0.0005
2024.6,-0.00245
2024.8,-0.00266
