time[yrs],velocity[m/yr]
2006.8,-0.00852
2007.0,-0.00709
2007.2,-0.00506
2007.4,-0.00434
2007.6,-0.00441
2007.8,-0.00498
2008.0,-0.00594
2008.2,-0.00679
2008.4,-0.00695
2008.6,-0.007
2008.8,-0.00669
2009.0,-0.0055
2009.2,-0.00414
2009.4,-0.0031
2009.6,-0.00231
2009.8,-0.00126
2010.0,-0.00096
2010.2,-0.00166
2010.4,-0.00278
2010.6,-0.00351
2010.8,-0.00349
2011.0,-0.00331
2011.2,-0.00255
2011.4,-0.00103
2011.6,0.00048
2011.8,0.00106
2012.0,0.00076
2012.2,0.00012
2012.4,-0.00045
2012.6,-0.00089
2012.8,-0.00112
2013.0,-0.00087
2013.2,-0.00011
2013.4,0.00045
2013.6,0.00037
2013.8,-0.00011
2014.0,-0.00104
2014.2,-0.00203
2014.4,-0.00261
2014.6,-0.00279
2014.8,-0.00226
2015.0,-0.00065
2015.2,0.0015
2015.4,0.00332
2015.6,0.00495
2015.8,0.00621
2016.0,0.00636
2016.2,0.00532
2016.4,0.00405
2016.6,0.00286
2016.8,0.00162
2017.0,0.00098
2017.2,0.00077
2017.4,0.00108
2017.6,0.00196
2017.8,0.00266
2018.0,0.00359
2018.2,0.00436
2018.4,0.00468
2018.6,0.00497
2018.8,0.00471
2019.0,0.00361
2019.2,0.00248
2019.4,0.00213
2019.6,0.0019
2019.8,0.00217
2020.0,0.00331
2020.2,0.00521
2020.4,0.00685
2020.6,0.00743
2020.8,0.00726
2021.0,0.00725
2021.2,0.00908
2021.4,0.0111
2021.6,0.01185
2021.8,0.0123
2022.0,0.0115
2022.2,0.00747
2022.4,0.0025
2022.6,0.00023
2022.8,-0.00057
2023.0,-0.00152
2023.2,-0.00167
2023.4,-0.00059
2023.6,0.00075
2023.8,0.00159
2024.0,0.00206
2024.2,0.00227
2024.4,0.00191
2024.6,0.00153
