name,path,P0,Delta_P,T,tr,run_time,spinup_time,output_dt,cycles,nested,sawtooth,inv_sawtooth,tc,t_som,som_mag,Delta_v,notes
Yellowstone_Run183_run2,Runs/run183_run2,100000,15000,10,0.005,638,500,0.1,3,0,0,1,5.92605396339316,0,0,30.7855692817294,"Source dim 0.5*13km, 1.0*27.5km. Source depth = 4.0 km. CR dim (32, 55)km, from tomography. CR extent 2-28 km. CR shift (-5, -0.75)km.  Burgers rheology with two viscosities. eta_CR,1=1.2616E17 Pa*s, eta_CR,2=6.308E15 Pa*s. No asthenosphere, domain depth = 100 km. Courser mesh, CR refined (5 km)"
Yellowstone_Run184,Runs/run184,100000,15000,10,0.005,638,500,0.1,3,0,0,1,6.25384587588635,0,0,22.3978481592763,"Source dim 0.5*13km, 1.0*27.5km. Source depth = 4.0 km. CR dim (32, 55)km, from tomography. Nested CR. Inner CR dim (22, 40)km, extends from 3-22 km. No shift. Outer CR dim (32, 55)km, from tomography. Outer CR extent 2-28 km. CR shift (-5, -0.75)km.  Burgers rheology with two viscosities. Inner eta_CR,1=1.2616E17 Pa*s, eta_CR,2=1.2616E16 Pa*s. Outer CR eta_1 = 1.2616E17, eta_2 = 6.308E15 Pa*2. No asthenosphere, domain depth = 100 km. Domain(200x200x100) km. Courser mesh, CR refined (5 km)"
Yellowstone_Run185,Runs/run185,100000,23000,10,0.01,638,500,0.1,3,0,0,1,5.95992855450734,0,0,46.2918373824888,"Source dim 0.5*13km, 1.0*27.5km. Source depth = 4.0 km. CR dim (32, 55)km, from tomography. CR extent 2-28 km. CR shift (-5, -0.75)km.  Burgers rheology with two viscosities. eta_CR,1=1.2616E17 Pa*s, eta_CR,2=1.2616E16 Pa*s. No asthenosphere, domain depth = 100 km. Courser mesh, CR refined (5 km)"
Yellowstone_Run186,Runs/run186,100000,23000,10,0.5,638,500,0.1,3,0,0,1,3.11073468912891,0,0,26.3529758634506,"Source dim 0.5*13km, 1.0*27.5km. Source depth = 4.0 km. CR dim (32, 55)km, from tomography. CR extent 2-28 km. CR shift (-5, -0.75)km.  Burgers rheology with two viscosities. eta_CR,1=4.928E18 Pa*s, eta_CR,2=2.464E17 Pa*s. No asthenosphere, domain depth = 100 km. Courser mesh, CR refined (5 km)"
Yellowstone_Run187,Runs/run187,100000,23000,10,1,638,500,0.1,3,0,0,1,"Source dim 0.5*13km, 1.0*27.5km. Source depth = 4.0 km. CR dim (32, 55)km, from tomography. CR extent 2-28 km. CR shift (-5, -0.75)km.  Burgers rheology with two viscosities. eta_CR,1=4.928E18 Pa*s, eta_CR,2=4.928E17 Pa*s. No asthenosphere, domain depth = 100 km. Courser mesh, CR refined (5 km)",,,,
Yellowstone_Run188,Runs/run188,100000,23000,10,5,638,500,0.1,3,0,0,1,"Source dim 0.5*13km, 1.0*27.5km. Source depth = 4.0 km. CR dim (32, 55)km, from tomography. CR extent 2-28 km. CR shift (-5, -0.75)km.  Burgers rheology with two viscosities. eta_CR,1=4.928E18 Pa*s, eta_CR,2=2.464E18 Pa*s. No asthenosphere, domain depth = 100 km. Courser mesh, CR refined (5 km)",,,,
Yellowstone_Run189,Runs/run189,100000,23000,10,0.005,638,500,0.1,3,0,0,1,4.6833247834954,0,0.333393175737525,62.4121394759653,"Source dim 0.5*13km, 1.0*27.5km. Source depth = 4.0 km. CR dim (32, 55)km, from tomography. CR extent 2-28 km. CR shift (-5, -0.75)km.  Burgers rheology with two viscosities. eta_CR,1=6.308E16Pa*s, eta_CR,2=6.308E15 Pa*s. No asthenosphere, domain depth = 100 km. Courser mesh, CR refined (5 km)"
Yellowstone_Run190,Runs/run190,100000,23000,10,0.005,638,500,0.1,3,0,0,1,"Source dim 0.5*13km, 1.0*27.5km. Source depth = 4.0 km. CR dim (32, 55)km, from tomography. CR extent 2-28 km. CR shift (-5, -0.75)km.  Burgers rheology with two viscosities. eta_CR,1=1.2616E16Pa*s, eta_CR,2=6.308E15 Pa*s. No asthenosphere, domain depth = 100 km. Courser mesh, CR refined (5 km)",0,0.831800467193653,114.071248247257,
Yellowstone_Run191,Runs/run191,100000,23000,10,0.005,638,500,0.1,3,0,0,1,5.99889124008641,0,0,35.5536820126918,"Source dim 0.5*13km, 1.0*27.5km. Source depth = 5.0 km. CR dim (32, 55)km, from tomography. Nested CR. Inner CR dim (22, 40)km, extends from 3-22 km. No shift. Outer CR dim (32, 55)km, from tomography. Outer CR extent 2-28 km. CR shift (-5, -0.75)km.  Burgers rheology with two viscosities. Inner eta_CR,1=1.2616E17 Pa*s, eta_CR,2=1.2616E16 Pa*s. Outer CR eta_1 = 6.308E16 eta_2 = 6.308E15 Pa*2. No asthenosphere, domain depth = 100 km. Domain(200x200x100) km. Courser mesh, CR refined (5 km)"
Yellowstone_Run192,Runs/run192,100000,13000,10,0.05,638,500,0.1,3,0,0,1,4.48414718324467,0,0.549603018035148,36.4838460316284,"Source dim 0.5*13km, 1.0*27.5km. Source depth = 4.0 km. CR dim (32, 55)km, from tomography. CR extent 2-28 km. CR shift (-5, -0.75)km.  MAxwell rheology. eta_CR=6.308E16 Pa*s. No asthenosphere, domain depth = 100 km. Courser mesh, CR refined (5 km)"
