time[yrs],velocity[m/yr]
2008.5,0.00039
2008.75,0.0007
2009.0,0.00162
2009.25,0.00306
2009.5,0.00378
2009.75,0.00382
2010.0,0.00338
2010.25,0.00176
2010.5,0.00034
2010.75,-2e-05
2011.0,0.00046
2011.25,0.00169
2011.5,0.0036
2011.75,0.00507
2012.0,0.00526
2012.25,0.00487
2012.5,0.00359
2012.75,0.00152
2013.0,6e-05
2013.25,-0.00084
2013.5,-0.00128
2013.75,-0.00102
2014.0,-0.00104
2014.25,-0.00121
2014.5,-0.00079
2014.75,-0.00013
2015.0,0.00112
2015.25,0.00269
2015.5,0.00355
2015.75,0.00322
2016.0,0.00195
2016.25,0.00013
2016.5,-0.00123
2016.75,-0.0015
2017.0,-0.0011
2017.25,-0.00015
2017.5,0.00086
2017.75,0.00178
2018.0,0.00289
2018.25,0.0036
2018.5,0.0034
2018.75,0.00258
2019.0,0.00093
2019.25,-0.0005
2019.5,-0.00107
2019.75,-0.00103
2020.0,2e-05
2020.25,0.00147
2020.5,0.00271
2020.75,0.00392
2021.0,0.00464
2021.25,0.00466
2021.5,0.00487
2021.75,0.00559
2022.0,0.00655
2022.25,0.00706
2022.5,0.00626
2022.75,0.00419
2023.0,0.00196
2023.25,0.0006
2023.5,0.00016
2023.75,0.00077
2024.0,0.00138
2024.25,0.00109
2024.5,0.00082
