time[yrs],velocity[m/yr]
2006.787,0.00108
2007.288,0.00117
2007.788,0.00109
2008.287,-0.00011
2008.789,-0.00025
2009.288,0.00089
2009.788,0.00096
2010.287,4e-05
2010.787,-0.00044
2011.288,3e-05
2011.788,0.00035
2012.287,0.00193
2012.789,0.00257
2013.288,0.00143
2013.788,0.00086
2014.287,0.00102
2014.787,0.00199
2015.285,0.00262
2015.785,0.00235
2016.286,0.00049
2016.791,-0.00125
2017.289,-0.00176
2017.789,-0.00065
2018.283,0.00078
2018.787,0.0008
2019.29,0.00098
2019.791,0.00179
2020.287,0.00336
2020.789,0.00476
2021.288,0.00492
2021.788,0.00405
2022.273,0.0021
2022.783,0.00124
2023.294,0.00155
2023.8,0.00154
2024.277,0.0022
2024.713,0.00267
