time[yrs],velocity[m/yr]
2009.6,0.00025
2009.8,-0.00015
2010.0,-0.00141
2010.2,-0.00263
2010.4,-0.00308
2010.6,-0.00306
2010.8,-0.00301
2011.0,-0.00243
2011.2,-0.00109
2011.4,0.00086
2011.6,0.0029
2011.8,0.00385
2012.0,0.00383
2012.2,0.00359
2012.4,0.00336
2012.6,0.00289
2012.8,0.0029
2013.0,0.00366
2013.2,0.00465
2013.4,0.00532
2013.6,0.00558
2013.8,0.00497
2014.0,0.00258
2014.2,-0.00036
2014.4,-0.00281
2014.6,-0.00473
2014.8,-0.00586
2015.0,-0.00523
2015.2,-0.00308
2015.4,-0.00118
2015.6,-0.00014
2015.8,0.0004
2016.0,0.00045
2016.2,-0.00084
2016.4,-0.00219
2016.6,-0.00237
2016.8,-0.00224
2017.0,-0.00196
2017.2,-0.00124
2017.4,-0.00018
2017.6,0.00066
2017.8,0.00114
2018.0,0.00199
2018.2,0.00229
2018.4,0.00179
2018.6,0.00126
2018.8,0.0007
2019.0,-2e-05
2019.2,-0.00043
2019.4,-0.00033
2019.6,-0.0004
2019.8,7e-05
2020.0,0.00101
2020.2,0.00201
2020.4,0.00268
2020.6,0.00321
2020.8,0.00457
2021.0,0.00573
2021.2,0.00695
2021.4,0.00877
2021.6,0.01035
2021.8,0.01021
2022.0,0.00949
2022.2,0.00835
2022.4,0.00619
2022.6,0.00442
2022.8,0.00342
2023.0,0.00338
2023.2,0.00383
2023.4,0.0044
2023.6,0.00472
2023.8,0.00482
2024.0,0.00442
2024.2,0.00372
2024.4,0.00291
2024.6,0.00198
2024.8,0.00151
