time[yrs],velocity[m/yr]
2006.617,0.00012
2007.138,-0.0003
2007.658,-0.00106
2008.179,-0.00236
2008.652,-0.00321
2009.152,-0.00161
2009.65,-0.00032
2010.119,-0.00124
2010.636,-0.00096
2011.156,-0.00061
2011.673,-0.00037
2012.131,0.00113
2012.645,0.00117
2013.159,-0.00033
2013.672,-0.00161
2014.151,-0.00185
2014.65,-0.00081
2015.151,0.00069
2015.651,0.00123
2016.151,0.00023
2016.643,-0.00137
2017.134,-0.00296
2017.641,-0.00238
2018.162,-0.0008
2018.675,-0.00093
2019.159,-0.00046
2019.648,-0.00053
2020.151,3e-05
2020.649,0.00192
2021.149,0.00238
2021.648,0.00231
2022.154,0.00051
2022.651,-0.00108
2023.153,-0.00065
2023.65,-0.0003
2024.142,0.00085
2024.64,-0.00065
2024.901,-0.00197
