site YYMMMDD yyyy.yyyy __MJD week d reflon _e0(m) __east(m) ____n0(m) _north(m) u0(m) ____up(m) _ant(m) sig_e(m) sig_n(m) sig_u(m) __corr_en __corr_eu __corr_nu _latitude(deg) _longitude(deg) __height(m)
P361 07JUL31 2007.5784 54312 1438 2 -111.4  -3153 -0.090196   4936086  1.041292  2930  0.931821  0.0083 0.000710 0.000931 0.002882 -0.016100  0.067926 -0.112572  44.5603480783 -111.4396891624  2930.93182
P361 07AUG01 2007.5811 54313 1438 3 -111.4  -3153 -0.092850   4936086  1.041125  2930  0.928192  0.0083 0.000708 0.000933 0.002859 -0.040684  0.064215 -0.142369  44.5603480766 -111.4396891963  2930.92819
P361 07AUG02 2007.5838 54314 1438 4 -111.4  -3153 -0.091678   4936086  1.041284  2930  0.931005  0.0083 0.000706 0.000933 0.002855 -0.010574  0.044271 -0.147818  44.5603480778 -111.4396891821  2930.93100
P361 07AUG03 2007.5866 54315 1438 5 -111.4  -3153 -0.089501   4936086  1.041599  2930  0.928608  0.0083 0.000709 0.000940 0.002902 -0.010893  0.029051 -0.165081  44.5603480803 -111.4396891552  2930.92861
P361 07AUG04 2007.5893 54316 1438 6 -111.4  -3153 -0.089703   4936086  1.039390  2930  0.932633  0.0083 0.000714 0.000939 0.002925 -0.015089  0.029010 -0.148113  44.5603480602 -111.4396891583  2930.93263
P361 07AUG05 2007.5921 54317 1439 0 -111.4  -3153 -0.090134   4936086  1.041685  2930  0.933449  0.0083 0.000702 0.000907 0.002792 -0.003872 -0.001862 -0.162211  44.5603480806 -111.4396891642  2930.93345
P361 07AUG06 2007.5948 54318 1439 1 -111.4  -3153 -0.088431   4936086  1.040741  2930  0.929341  0.0083 0.000721 0.000940 0.002911 -0.040675  0.051161 -0.202457  44.5603480719 -111.4396891433  2930.92934
P361 07AUG07 2007.5975 54319 1439 2 -111.4  -3153 -0.090021   4936086  1.041097  2930  0.934232  0.0083 0.000715 0.000932 0.002892 -0.018380  0.018917 -0.184567  44.5603480749 -111.4396891638  2930.93423
P361 07AUG08 2007.6003 54320 1439 3 -111.4  -3153 -0.089407   4936086  1.040945  2930  0.928850  0.0083 0.000699 0.000909 0.002783 -0.032861  0.080883 -0.165027  44.5603480733 -111.4396891566  2930.92885
P361 07AUG09 2007.6030 54321 1439 4 -111.4  -3153 -0.090649   4936086  1.040485  2930  0.931819  0.0083 0.000703 0.000921 0.002859 -0.027125  0.041252 -0.178997  44.5603480689 -111.4396891727  2930.93182
