site YYMMMDD yyyy.yyyy __MJD week d reflon _e0(m) __east(m) ____n0(m) _north(m) u0(m) ____up(m) _ant(m) sig_e(m) sig_n(m) sig_u(m) __corr_en __corr_eu __corr_nu _latitude(deg) _longitude(deg) __height(m)
P456 08JUN24 2008.4791 54641 1485 2 -111.2  -1984 -0.222169   4969773  0.683776  2956  0.292667  0.0083 0.000660 0.000907 0.002631  0.046292 -0.038410 -0.091697  44.8634867626 -111.2251076043  2956.29267
P456 08JUN25 2008.4819 54642 1485 3 -111.2  -1984 -0.222734   4969773  0.683991  2956  0.296088  0.0083 0.000664 0.000911 0.002643  0.052304  0.010126 -0.087290  44.8634867643 -111.2251076120  2956.29609
P456 08JUN26 2008.4846 54643 1485 4 -111.2  -1984 -0.225561   4969773  0.684036  2956  0.298733  0.0083 0.000672 0.000923 0.002662  0.023910 -0.004608 -0.088012  44.8634867645 -111.2251076483  2956.29873
P456 08JUN27 2008.4873 54644 1485 5 -111.2  -1984 -0.222621   4969773  0.682958  2956  0.293788  0.0083 0.000668 0.000914 0.002674  0.038048 -0.052133 -0.085842  44.8634867546 -111.2251076116  2956.29379
P456 08JUN28 2008.4901 54645 1485 6 -111.2  -1984 -0.222912   4969773  0.682661  2956  0.292895  0.0083 0.000662 0.000906 0.002629  0.049903  0.016720 -0.108726  44.8634867516 -111.2251076158  2956.29290
P456 08JUN29 2008.4928 54646 1486 0 -111.2  -1984 -0.222320   4969773  0.682775  2956  0.285598  0.0083 0.000666 0.000914 0.002646  0.048146 -0.025981 -0.068432  44.8634867524 -111.2251076088  2956.28560
P456 08JUN30 2008.4956 54647 1486 1 -111.2  -1984 -0.221476   4969773  0.682453  2956  0.285765  0.0083 0.000660 0.000916 0.002636  0.052617 -0.003923 -0.086359  44.8634867493 -111.2251075987  2956.28577
P456 08JUL01 2008.4983 54648 1486 2 -111.2  -1984 -0.224053   4969773  0.683193  2956  0.292076  0.0083 0.000670 0.000917 0.002720  0.030544  0.025441 -0.098188  44.8634867557 -111.2251076318  2956.29208
P456 08JUL02 2008.5010 54649 1486 3 -111.2  -1984 -0.222530   4969773  0.683538  2956  0.298291  0.0083 0.000660 0.000906 0.002643  0.039770  0.004345 -0.092747  44.8634867586 -111.2251076131  2956.29829
P456 08JUL03 2008.5038 54650 1486 4 -111.2  -1984 -0.223087   4969773  0.682215  2956  0.295296  0.0083 0.000657 0.000912 0.002613  0.052584 -0.006501 -0.087787  44.8634867464 -111.2251076206  2956.29530
P456 08JUL04 2008.5065 54651 1486 5 -111.2  -1984 -0.224455   4969773  0.682362  2956  0.300876  0.0083 0.000671 0.000915 0.002722  0.033918  0.019771 -0.107290  44.8634867475 -111.2251076385  2956.30088
P456 08JUL05 2008.5092 54652 1486 6 -111.2  -1984 -0.222842   4969773  0.681898  2956  0.298775  0.0083 0.000665 0.000907 0.002650  0.055680 -0.011513 -0.105168  44.8634867431 -111.2251076186  2956.29877
P456 08JUL06 2008.5120 54653 1487 0 -111.2  -1984 -0.224450   4969773  0.682130  2956  0.296645  0.0083 0.000666 0.000923 0.002677  0.046051  0.002418 -0.095029  44.8634867449 -111.2251076395  2956.29665
P456 08JUL07 2008.5147 54654 1487 1 -111.2  -1984 -0.224018   4969773  0.680617  2956  0.294737  0.0083 0.000660 0.000915 0.002629  0.034246 -0.014703 -0.071217  44.8634867311 -111.2251076345  2956.29474
P456 08JUL08 2008.5175 54655 1487 2 -111.2  -1984 -0.224517   4969773  0.681525  2956  0.295476  0.0083 0.000676 0.000922 0.002734  0.056810 -0.008316 -0.081781  44.8634867390 -111.2251076414  2956.29548
P456 08JUL09 2008.5202 54656 1487 3 -111.2  -1984 -0.222008   4969773  0.681559  2956  0.296131  0.0083 0.000667 0.000928 0.002659  0.069831 -0.035370 -0.091416  44.8634867391 -111.2251076101  2956.29613
P456 08JUL10 2008.5229 54657 1487 4 -111.2  -1984 -0.223408   4969773  0.682715  2956  0.297201  0.0083 0.000683 0.000945 0.002746  0.052441  0.012890 -0.105126  44.8634867493 -111.2251076284  2956.29720
P456 08JUL11 2008.5257 54658 1487 5 -111.2  -1984 -0.224078   4969773  0.681562  2956  0.296887  0.0083 0.000689 0.000953 0.002801  0.046386  0.028371 -0.117440  44.8634867386 -111.2251076374  2956.29689
P456 08JUL12 2008.5284 54659 1487 6 -111.2  -1984 -0.223421   4969773  0.681136  2956  0.291916  0.0083 0.000658 0.000910 0.002601  0.043825 -0.012583 -0.081909  44.8634867346 -111.2251076296  2956.29192
P456 08JUL13 2008.5311 54660 1488 0 -111.2  -1984 -0.225901   4969773  0.681717  2956  0.294260  0.0083 0.000663 0.000910 0.002668  0.034663 -0.013404 -0.105865  44.8634867395 -111.2251076615  2956.29426
P456 08JUL14 2008.5339 54661 1488 1 -111.2  -1984 -0.226481   4969773  0.681817  2956  0.297991  0.0083 0.000670 0.000922 0.002729  0.038428 -0.008932 -0.100058  44.8634867402 -111.2251076694  2956.29799
P456 08JUL15 2008.5366 54662 1488 2 -111.2  -1984 -0.224207   4969773  0.681987  2956  0.298351  0.0083 0.000653 0.000908 0.002615  0.047716 -0.004399 -0.072676  44.8634867415 -111.2251076411  2956.29835
P456 08JUL16 2008.5394 54663 1488 3 -111.2  -1984 -0.221944   4969773  0.682938  2956  0.297397  0.0083 0.000665 0.000902 0.002656  0.059795 -0.032801 -0.107443  44.8634867498 -111.2251076130  2956.29740
P456 08JUL17 2008.5421 54664 1488 4 -111.2  -1984 -0.223983   4969773  0.681326  2956  0.295771  0.0083 0.000656 0.000910 0.002614  0.040195 -0.027534 -0.080109  44.8634867351 -111.2251076393  2956.29577
P456 08JUL18 2008.5448 54665 1488 5 -111.2  -1984 -0.224230   4969773  0.682870  2956  0.300248  0.0083 0.000682 0.000958 0.002793  0.035084 -0.000724 -0.103072  44.8634867487 -111.2251076430  2956.30025
P456 08JUL19 2008.5476 54666 1488 6 -111.2  -1984 -0.223824   4969773  0.682584  2956  0.299217  0.0083 0.000681 0.000939 0.002777  0.031605 -0.004719 -0.115046  44.8634867459 -111.2251076384  2956.29922
P456 08JUL20 2008.5503 54667 1489 0 -111.2  -1984 -0.225486   4969773  0.682521  2956  0.300780  0.0083 0.000658 0.000908 0.002673  0.048631 -0.005943 -0.115493  44.8634867451 -111.2251076599  2956.30078
P456 08JUL21 2008.5530 54668 1489 1 -111.2  -1984 -0.224491   4969773  0.682478  2956  0.304502  0.0083 0.000663 0.000924 0.002670  0.040806  0.002853 -0.064717  44.8634867445 -111.2251076478  2956.30450
P456 08JUL22 2008.5558 54669 1489 2 -111.2  -1984 -0.224328   4969773  0.683057  2956  0.296531  0.0083 0.000660 0.000914 0.002650  0.046953 -0.017786 -0.095071  44.8634867494 -111.2251076463  2956.29653
P456 08JUL23 2008.5585 54670 1489 3 -111.2  -1984 -0.223829   4969773  0.681590  2956  0.297642  0.0083 0.000687 0.000962 0.002814  0.050422 -0.016604 -0.112482  44.8634867360 -111.2251076405  2956.29764
P456 08JUL24 2008.5613 54671 1489 4 -111.2  -1984 -0.220845   4969773  0.684815  2956  0.297279  0.0083 0.000675 0.000932 0.002716  0.057198 -0.034100 -0.116700  44.8634867648 -111.2251076033  2956.29728
P456 08JUL25 2008.5640 54672 1489 5 -111.2  -1984 -0.222748   4969773  0.682834  2956  0.296432  0.0083 0.000665 0.000911 0.002635  0.049964 -0.032868 -0.111628  44.8634867467 -111.2251076279  2956.29643
P456 08JUL26 2008.5667 54673 1489 6 -111.2  -1984 -0.223825   4969773  0.683750  2956  0.299277  0.0083 0.000673 0.000921 0.002751  0.050980 -0.016655 -0.129099  44.8634867547 -111.2251076420  2956.29928
P456 08JUL27 2008.5695 54674 1490 0 -111.2  -1984 -0.222018   4969773  0.683604  2956  0.300183  0.0083 0.000648 0.000902 0.002571  0.056166 -0.002859 -0.093500  44.8634867532 -111.2251076197  2956.30018
P456 08JUL28 2008.5722 54675 1490 1 -111.2  -1984 -0.221557   4969773  0.682168  2956  0.301740  0.0083 0.000661 0.000939 0.002662  0.067097 -0.024947 -0.144606  44.8634867400 -111.2251076144  2956.30174
P456 08JUL29 2008.5749 54676 1490 2 -111.2  -1984 -0.221768   4969773  0.681309  2956  0.304510  0.0083 0.000675 0.000940 0.002731  0.069028 -0.033520 -0.117458  44.8634867320 -111.2251076176  2956.30451
P456 08JUL30 2008.5777 54677 1490 3 -111.2  -1984 -0.225615   4969773  0.681654  2956  0.300085  0.0083 0.000698 0.000952 0.002864  0.073452  0.018198 -0.115337  44.8634867349 -111.2251076668  2956.30008
P456 08JUL31 2008.5804 54678 1490 4 -111.2  -1984 -0.223229   4969773  0.682377  2956  0.302038  0.0083 0.000659 0.000910 0.002632  0.063861 -0.029557 -0.116415  44.8634867412 -111.2251076371  2956.30204
P456 08AUG01 2008.5832 54679 1490 5 -111.2  -1984 -0.223966   4969773  0.683251  2956  0.303311  0.0083 0.000649 0.000916 0.002629  0.039022  0.002873 -0.104268  44.8634867488 -111.2251076470  2956.30331
P456 08AUG02 2008.5859 54680 1490 6 -111.2  -1984 -0.222963   4969773  0.682518  2956  0.304941  0.0083 0.000658 0.000904 0.002594  0.050259  0.002246 -0.084654  44.8634867420 -111.2251076348  2956.30494
P456 08AUG03 2008.5886 54681 1491 0 -111.2  -1984 -0.223450   4969773  0.681403  2956  0.301522  0.0083 0.000676 0.000931 0.002720  0.006864  0.010049 -0.108568  44.8634867317 -111.2251076415  2956.30152
P456 08AUG04 2008.5914 54682 1491 1 -111.2  -1984 -0.221749   4969773  0.682121  2956  0.301239  0.0083 0.000657 0.000913 0.002634  0.040887  0.001382 -0.123970  44.8634867379 -111.2251076205  2956.30124
P456 08AUG05 2008.5941 54683 1491 2 -111.2  -1984 -0.221427   4969773  0.681814  2956  0.299901  0.0083 0.000657 0.000904 0.002606  0.073922 -0.009557 -0.108895  44.8634867349 -111.2251076169  2956.29990
P456 08AUG06 2008.5969 54684 1491 3 -111.2  -1984 -0.222141   4969773  0.681196  2956  0.294668  0.0083 0.000670 0.000934 0.002733  0.052428  0.006306 -0.143561  44.8634867291 -111.2251076265  2956.29467
P456 08AUG07 2008.5996 54685 1491 4 -111.2  -1984 -0.222263   4969773  0.681907  2956  0.302792  0.0083 0.000683 0.000943 0.002732  0.044625  0.014908 -0.076372  44.8634867353 -111.2251076286  2956.30279
P456 08AUG08 2008.6023 54686 1491 5 -111.2  -1984 -0.222186   4969773  0.682841  2956  0.300788  0.0083 0.000696 0.000953 0.002759  0.045521 -0.027933 -0.057754  44.8634867434 -111.2251076281  2956.30079
P456 08AUG09 2008.6051 54687 1491 6 -111.2  -1984 -0.220794   4969773  0.681550  2956  0.302547  0.0083 0.000670 0.000939 0.002715  0.049423 -0.014173 -0.146506  44.8634867316 -111.2251076110  2956.30255
P456 08AUG10 2008.6078 54688 1492 0 -111.2  -1984 -0.221867   4969773  0.681873  2956  0.300228  0.0083 0.000666 0.000945 0.002717  0.062479 -0.012348 -0.131209  44.8634867342 -111.2251076251  2956.30023
P456 08AUG11 2008.6105 54689 1492 1 -111.2  -1984 -0.221252   4969773  0.681682  2956  0.296605  0.0083 0.000664 0.000937 0.002698  0.064574  0.003333 -0.095708  44.8634867323 -111.2251076179  2956.29661
P456 08AUG12 2008.6133 54690 1492 2 -111.2  -1984 -0.221447   4969773  0.679238  2956  0.302948  0.0083 0.000667 0.000933 0.002695  0.061955  0.006661 -0.105380  44.8634867100 -111.2251076208  2956.30295
P456 08AUG13 2008.6160 54691 1492 3 -111.2  -1984 -0.222243   4969773  0.680471  2956  0.301187  0.0083 0.000668 0.000925 0.002672  0.038932  0.019412 -0.101468  44.8634867209 -111.2251076314  2956.30119
P456 08AUG14 2008.6188 54692 1492 4 -111.2  -1984 -0.221200   4969773  0.679847  2956  0.301560  0.0083 0.000662 0.000918 0.002660  0.036592  0.008313 -0.113305  44.8634867150 -111.2251076188  2956.30156
P456 08AUG15 2008.6215 54693 1492 5 -111.2  -1984 -0.217783   4969773  0.684443  2956  0.299274  0.0083 0.000656 0.000920 0.002623  0.049491  0.000279 -0.096146  44.8634867562 -111.2251075761  2956.29927
P456 08AUG16 2008.6242 54694 1492 6 -111.2  -1984 -0.222100   4969773  0.681575  2956  0.299621  0.0083 0.000663 0.000925 0.002677  0.062697 -0.006154 -0.125899  44.8634867301 -111.2251076312  2956.29962
P456 08AUG17 2008.6270 54695 1493 0 -111.2  -1984 -0.221371   4969773  0.680983  2956  0.304073  0.0083 0.000665 0.000932 0.002681  0.056214  0.001553 -0.108239  44.8634867246 -111.2251076225  2956.30407
P456 08AUG18 2008.6297 54696 1493 1 -111.2  -1984 -0.220235   4969773  0.680227  2956  0.300206  0.0083 0.000660 0.000921 0.002638  0.064596 -0.017818 -0.110188  44.8634867175 -111.2251076086  2956.30021
P456 08AUG19 2008.6324 54697 1493 2 -111.2  -1984 -0.219842   4969773  0.681464  2956  0.304591  0.0083 0.000662 0.000922 0.002621  0.057571 -0.012871 -0.091591  44.8634867284 -111.2251076042  2956.30459
P456 08AUG20 2008.6352 54698 1493 3 -111.2  -1984 -0.220166   4969773  0.680414  2956  0.307288  0.0083 0.000665 0.000927 0.002656  0.038518  0.005962 -0.119297  44.8634867187 -111.2251076088  2956.30729
P456 08AUG21 2008.6379 54699 1493 4 -111.2  -1984 -0.217403   4969773  0.682666  2956  0.307638  0.0083 0.000670 0.000933 0.002667  0.057709 -0.016642 -0.108688  44.8634867387 -111.2251075744  2956.30764
P456 08AUG22 2008.6407 54700 1493 5 -111.2  -1984 -0.222545   4969773  0.680096  2956  0.300718  0.0083 0.000662 0.000927 0.002645  0.051893 -0.021934 -0.104921  44.8634867154 -111.2251076400  2956.30072
P456 08AUG23 2008.6434 54701 1493 6 -111.2  -1984 -0.222217   4969773  0.679764  2956  0.297783  0.0083 0.000661 0.000923 0.002636  0.056865 -0.020003 -0.106564  44.8634867121 -111.2251076363  2956.29778
P456 08AUG24 2008.6461 54702 1494 0 -111.2  -1984 -0.221436   4969773  0.681144  2956  0.301115  0.0083 0.000669 0.000927 0.002664  0.049623 -0.011598 -0.097571  44.8634867243 -111.2251076270  2956.30111
P456 08AUG25 2008.6489 54703 1494 1 -111.2  -1984 -0.220540   4969773  0.682104  2956  0.306598  0.0083 0.000656 0.000916 0.002601  0.057403 -0.007572 -0.094309  44.8634867327 -111.2251076162  2956.30660
P456 08AUG26 2008.6516 54704 1494 2 -111.2  -1984 -0.223249   4969773  0.681919  2956  0.306730  0.0083 0.000666 0.000931 0.002664  0.051901 -0.026737 -0.116167  44.8634867308 -111.2251076510  2956.30673
P456 08AUG27 2008.6543 54705 1494 3 -111.2  -1984 -0.223927   4969773  0.681010  2956  0.300956  0.0083 0.000680 0.000939 0.002754  0.024207  0.007339 -0.098400  44.8634867224 -111.2251076601  2956.30096
P456 08AUG28 2008.6571 54706 1494 4 -111.2  -1984 -0.220458   4969773  0.678632  2956  0.307357  0.0083 0.000684 0.000970 0.002766  0.052978  0.009015 -0.112853  44.8634867008 -111.2251076167  2956.30736
P456 08AUG29 2008.6598 54707 1494 5 -111.2  -1984 -0.219518   4969773  0.679633  2956  0.303536  0.0083 0.000668 0.000932 0.002681  0.046130  0.011307 -0.102617  44.8634867095 -111.2251076053  2956.30354
P456 08AUG30 2008.6626 54708 1494 6 -111.2  -1984 -0.219854   4969773  0.679875  2956  0.305807  0.0083 0.000675 0.000934 0.002697  0.028453  0.004270 -0.085420  44.8634867115 -111.2251076101  2956.30581
P456 08AUG31 2008.6653 54709 1495 0 -111.2  -1984 -0.219976   4969773  0.680569  2956  0.312501  0.0083 0.000679 0.000940 0.002729  0.039651  0.009049 -0.086153  44.8634867175 -111.2251076122  2956.31250
P456 08SEP01 2008.6680 54710 1495 1 -111.2  -1984 -0.220803   4969773  0.679716  2956  0.303130  0.0083 0.000676 0.000932 0.002683  0.050577 -0.028312 -0.099521  44.8634867096 -111.2251076232  2956.30313
P456 08SEP02 2008.6708 54711 1495 2 -111.2  -1984 -0.220248   4969773  0.679387  2956  0.301562  0.0083 0.000667 0.000928 0.002661  0.039807  0.005812 -0.086029  44.8634867063 -111.2251076167  2956.30156
P456 08SEP03 2008.6735 54712 1495 3 -111.2  -1984 -0.220513   4969773  0.680151  2956  0.300634  0.0083 0.000670 0.000928 0.002653  0.039477 -0.010059 -0.073812  44.8634867130 -111.2251076205  2956.30063
