site YYMMMDD yyyy.yyyy __MJD week d reflon _e0(m) __east(m) ____n0(m) _north(m) u0(m) ____up(m) _ant(m) sig_e(m) sig_n(m) sig_u(m) __corr_en __corr_eu __corr_nu _latitude(deg) _longitude(deg) __height(m)
P801 08SEP10 2008.6927 54719 1496 3 -110.5  -3484 -0.586494   4917121  0.144582  2368  0.575820  0.0083 0.001017 0.001333 0.004404  0.176621  0.077837  0.023880  44.3896709231 -110.5437342391  2368.57582
P801 08SEP11 2008.6954 54720 1496 4 -110.5  -3484 -0.585159   4917121  0.144224  2368  0.589821  0.0083 0.001005 0.001322 0.004454  0.132351  0.049424 -0.037574  44.3896709197 -110.5437342229  2368.58982
P801 08SEP12 2008.6982 54721 1496 5 -110.5  -3484 -0.586932   4917121  0.146312  2368  0.593470  0.0083 0.000970 0.001286 0.004291  0.114345  0.031690 -0.008510  44.3896709382 -110.5437342457  2368.59347
P801 08SEP13 2008.7009 54722 1496 6 -110.5  -3484 -0.586522   4917121  0.146587  2368  0.579513  0.0083 0.000983 0.001275 0.004359  0.127979  0.032992 -0.012866  44.3896709405 -110.5437342410  2368.57951
P801 08SEP14 2008.7036 54723 1497 0 -110.5  -3484 -0.586769   4917121  0.145277  2368  0.579591  0.0083 0.000929 0.001282 0.004084  0.125138  0.008549  0.031322  44.3896709284 -110.5437342446  2368.57959
P801 08SEP15 2008.7064 54724 1497 1 -110.5  -3484 -0.585554   4917121  0.143756  2368  0.589889  0.0083 0.000991 0.001315 0.004431  0.107563  0.005889 -0.042535  44.3896709145 -110.5437342299  2368.58989
P801 08SEP16 2008.7091 54725 1497 2 -110.5  -3484 -0.586019   4917121  0.144155  2368  0.579252  0.0083 0.000999 0.001299 0.004329  0.111946  0.043744 -0.030439  44.3896709179 -110.5437342362  2368.57925
P801 08SEP17 2008.7118 54726 1497 3 -110.5  -3484 -0.588546   4917121  0.144996  2368  0.589186  0.0083 0.001032 0.001340 0.004395  0.157454 -0.059763 -0.055149  44.3896709252 -110.5437342685  2368.58919
P801 08SEP18 2008.7146 54727 1497 4 -110.5  -3484 -0.585424   4917121  0.145500  2368  0.588979  0.0083 0.000955 0.001285 0.004226  0.136706  0.062801 -0.038835  44.3896709295 -110.5437342298  2368.58898
P801 08SEP19 2008.7173 54728 1497 5 -110.5  -3484 -0.588324   4917121  0.142791  2368  0.585294  0.0083 0.000987 0.001276 0.004272  0.150375 -0.044733 -0.038375  44.3896709049 -110.5437342667  2368.58529
