site YYMMMDD yyyy.yyyy __MJD week d reflon _e0(m) __east(m) ____n0(m) _north(m) u0(m) ____up(m) _ant(m) sig_e(m) sig_n(m) sig_u(m) __corr_en __corr_eu __corr_nu _latitude(deg) _longitude(deg) __height(m)
P360 05JUN30 2005.4949 53551 1329 4 -111.5   3934  0.896868   4909140  0.628586  1857  0.858261  0.0083 0.000699 0.000953 0.002808  0.004812  0.024378 -0.094532  44.3178517324 -111.4506771840  1857.85826
P360 05JUL01 2005.4976 53552 1329 5 -111.5   3934  0.896640   4909140  0.626914  1857  0.856644  0.0083 0.000692 0.000952 0.002827  0.020047 -0.015756 -0.123587  44.3178517171 -111.4506771873  1857.85664
P360 05JUL02 2005.5003 53553 1329 6 -111.5   3934  0.896860   4909140  0.626971  1857  0.860148  0.0083 0.000691 0.000947 0.002763  0.005322 -0.002875 -0.095011  44.3178517174 -111.4506771851  1857.86015
P360 05JUL03 2005.5031 53554 1330 0 -111.5   3934  0.895688   4909140  0.627699  1857  0.862175  0.0083 0.000681 0.000928 0.002721  0.019782  0.012625 -0.093795  44.3178517237 -111.4506772003  1857.86217
P360 05JUL04 2005.5058 53555 1330 1 -111.5   3934  0.896982   4909140  0.627637  1857  0.858308  0.0083 0.000682 0.000940 0.002720  0.019125 -0.014222 -0.101500  44.3178517229 -111.4506771846  1857.85831
P360 05JUL05 2005.5086 53556 1330 2 -111.5   3934  0.897182   4909140  0.628161  1857  0.856469  0.0083 0.000679 0.000925 0.002700  0.006490  0.015971 -0.091075  44.3178517273 -111.4506771826  1857.85647
P360 05JUL06 2005.5113 53557 1330 3 -111.5   3934  0.897534   4909140  0.627008  1857  0.861761  0.0083 0.000687 0.000951 0.002753  0.008294  0.013086 -0.101039  44.3178517167 -111.4506771787  1857.86176
P360 05JUL07 2005.5140 53558 1330 4 -111.5   3934  0.898430   4909140  0.626889  1857  0.860949  0.0083 0.000691 0.000951 0.002803  0.002544  0.032239 -0.114101  44.3178517154 -111.4506771680  1857.86095
P360 05JUL08 2005.5168 53559 1330 5 -111.5   3934  0.896389   4909140  0.625317  1857  0.854789  0.0083 0.000686 0.000938 0.002753  0.013956 -0.020548 -0.107209  44.3178517010 -111.4506771941  1857.85479
P360 05JUL09 2005.5195 53560 1330 6 -111.5   3934  0.898040   4909140  0.625135  1857  0.862214  0.0083 0.000691 0.000936 0.002785  0.019121  0.014521 -0.105677  44.3178516991 -111.4506771739  1857.86221
