site YYMMMDD yyyy.yyyy __MJD week d reflon _e0(m) __east(m) ____n0(m) _north(m) u0(m) ____up(m) _ant(m) sig_e(m) sig_n(m) sig_u(m) __corr_en __corr_eu __corr_nu _latitude(deg) _longitude(deg) __height(m)
P461 05OCT01 2005.7495 53644 1342 6 -110.8   3237  0.644504   5024314  0.099562  1544  0.097078  0.0083 0.000701 0.000989 0.002892  0.010646  0.029053 -0.074814  45.3542500750 -110.7586832722  1544.09708
P461 05OCT02 2005.7522 53645 1343 0 -110.8   3237  0.644463   5024314  0.101539  1544  0.092345  0.0083 0.000714 0.000976 0.002858  0.008505  0.012831 -0.094221  45.3542500925 -110.7586832732  1544.09235
P461 05OCT03 2005.7550 53646 1343 1 -110.8   3237  0.644164   5024314  0.100404  1544  0.091592  0.0083 0.000722 0.000968 0.002892 -0.022241  0.021114 -0.124316  45.3542500821 -110.7586832776  1544.09159
P461 05OCT04 2005.7577 53647 1343 2 -110.8   3237  0.643793   5024314  0.101932  1544  0.087545  0.0083 0.000711 0.001000 0.002910  0.021768  0.021849 -0.091400  45.3542500956 -110.7586832828  1544.08754
P461 05OCT05 2005.7604 53648 1343 3 -110.8   3237  0.643209   5024314  0.100991  1544  0.086386  0.0083 0.000695 0.000979 0.002857  0.006244  0.015880 -0.049234  45.3542500869 -110.7586832908  1544.08639
P461 05OCT06 2005.7632 53649 1343 4 -110.8   3237  0.645891   5024314  0.100907  1544  0.085706  0.0083 0.000695 0.000969 0.002844  0.002439  0.022489 -0.052749  45.3542500859 -110.7586832571  1544.08571
P461 05OCT07 2005.7659 53650 1343 5 -110.8   3237  0.645534   5024314  0.099125  1544  0.091848  0.0083 0.000704 0.000981 0.002896  0.009684 -0.003574 -0.078961  45.3542500696 -110.7586832622  1544.09185
P461 05OCT08 2005.7687 53651 1343 6 -110.8   3237  0.644293   5024314  0.098414  1544  0.098514  0.0083 0.000708 0.000996 0.002918  0.010685  0.006352 -0.105266  45.3542500630 -110.7586832786  1544.09851
P461 05OCT09 2005.7714 53652 1344 0 -110.8   3237  0.646342   5024314  0.098361  1544  0.092207  0.0083 0.000696 0.000976 0.002836  0.018201  0.007189 -0.084972  45.3542500623 -110.7586832530  1544.09221
P461 05OCT10 2005.7741 53653 1344 1 -110.8   3237  0.645675   5024314  0.098269  1544  0.087439  0.0083 0.000700 0.000972 0.002860  0.023372  0.025946 -0.115916  45.3542500612 -110.7586832621  1544.08744
P461 05OCT11 2005.7769 53654 1344 2 -110.8   3237  0.645441   5024314  0.098851  1544  0.093463  0.0083 0.000712 0.000991 0.002876  0.010791  0.021184 -0.082715  45.3542500662 -110.7586832656  1544.09346
P461 05OCT12 2005.7796 53655 1344 3 -110.8   3237  0.645524   5024314  0.099056  1544  0.089416  0.0083 0.000707 0.000975 0.002843  0.006829  0.002511 -0.085739  45.3542500679 -110.7586832650  1544.08942
P461 05OCT13 2005.7823 53656 1344 4 -110.8   3237  0.644498   5024314  0.097439  1544  0.088358  0.0083 0.000720 0.000993 0.002945 -0.014770  0.005108 -0.053467  45.3542500531 -110.7586832787  1544.08836
P461 05OCT14 2005.7851 53657 1344 5 -110.8   3237  0.646680   5024314  0.098962  1544  0.091100  0.0083 0.000707 0.000983 0.002859  0.006144  0.012159 -0.074535  45.3542500665 -110.7586832514  1544.09110
P461 05OCT15 2005.7878 53658 1344 6 -110.8   3237  0.645368   5024314  0.098187  1544  0.093019  0.0083 0.000697 0.000984 0.002850  0.034447 -0.006869 -0.073106  45.3542500593 -110.7586832687  1544.09302
P461 05OCT16 2005.7906 53659 1345 0 -110.8   3237  0.645336   5024314  0.099117  1544  0.091164  0.0083 0.000703 0.000972 0.002893 -0.010174  0.026477 -0.077045  45.3542500675 -110.7586832696  1544.09116
P461 05OCT17 2005.7933 53660 1345 1 -110.8   3237  0.641446   5024314  0.097738  1544  0.085653  0.0083 0.000721 0.001025 0.003076  0.010858  0.014597 -0.123026  45.3542500548 -110.7586833198  1544.08565
P461 05OCT18 2005.7960 53661 1345 2 -110.8   3237  0.645940   5024314  0.099104  1544  0.093921  0.0083 0.000724 0.001003 0.002968  0.012846 -0.015267 -0.096752  45.3542500669 -110.7586832629  1544.09392
P461 05OCT19 2005.7988 53662 1345 3 -110.8   3237  0.647108   5024314  0.099165  1544  0.091797  0.0083 0.000719 0.000981 0.002900  0.006380  0.030071 -0.102104  45.3542500672 -110.7586832486  1544.09180
P461 05OCT20 2005.8015 53663 1345 4 -110.8   3237  0.646535   5024314  0.099149  1544  0.091239  0.0083 0.000716 0.001028 0.003002 -0.000714  0.007735 -0.067660  45.3542500668 -110.7586832564  1544.09124
P461 05OCT21 2005.8042 53664 1345 5 -110.8   3237  0.646307   5024314  0.099327  1544  0.087055  0.0083 0.000710 0.000985 0.002921  0.003375  0.001741 -0.058521  45.3542500682 -110.7586832599  1544.08706
P461 05OCT22 2005.8070 53665 1345 6 -110.8   3237  0.647249   5024314  0.098629  1544  0.087009  0.0083 0.000708 0.000986 0.002878  0.015289 -0.004982 -0.077081  45.3542500616 -110.7586832484  1544.08701
P461 05OCT23 2005.8097 53666 1346 0 -110.8   3237  0.646987   5024314  0.097456  1544  0.086984  0.0083 0.000696 0.000973 0.002811  0.014808 -0.007089 -0.062384  45.3542500509 -110.7586832523  1544.08698
P461 05OCT24 2005.8125 53667 1346 1 -110.8   3237  0.647717   5024314  0.098075  1544  0.087440  0.0083 0.000703 0.000987 0.002861  0.008549 -0.009391 -0.069374  45.3542500562 -110.7586832435  1544.08744
P461 05OCT25 2005.8152 53668 1346 2 -110.8   3237  0.648757   5024314  0.097314  1544  0.089856  0.0083 0.000719 0.000997 0.002962  0.011785 -0.007884 -0.077690  45.3542500491 -110.7586832308  1544.08986
P461 05OCT26 2005.8179 53669 1346 3 -110.8   3237  0.647289   5024314  0.098780  1544  0.091735  0.0083 0.000734 0.001004 0.002979  0.005426  0.018317 -0.101176  45.3542500621 -110.7586832500  1544.09173
P461 05OCT27 2005.8207 53670 1346 4 -110.8   3237  0.647496   5024314  0.099834  1544  0.094072  0.0083 0.000708 0.000981 0.002878  0.011085 -0.026199 -0.067776  45.3542500713 -110.7586832479  1544.09407
P461 05OCT28 2005.8234 53671 1346 5 -110.8   3237  0.646608   5024314  0.100087  1544  0.095328  0.0083 0.000705 0.000975 0.002864  0.029777  0.003827 -0.079738  45.3542500734 -110.7586832598  1544.09533
P461 05OCT29 2005.8261 53672 1346 6 -110.8   3237  0.646294   5024314  0.099936  1544  0.093351  0.0083 0.000698 0.000964 0.002826  0.008820 -0.019641 -0.078454  45.3542500718 -110.7586832643  1544.09335
P461 05OCT30 2005.8289 53673 1347 0 -110.8   3237  0.647354   5024314  0.099210  1544  0.087532  0.0083 0.000710 0.000968 0.002864  0.000029 -0.007185 -0.087591  45.3542500650 -110.7586832513  1544.08753
P461 05OCT31 2005.8316 53674 1347 1 -110.8   3237  0.647282   5024314  0.101618  1544  0.087805  0.0083 0.000732 0.001006 0.002960  0.024433 -0.027075 -0.114421  45.3542500864 -110.7586832528  1544.08780
P461 05NOV01 2005.8344 53675 1347 2 -110.8   3237  0.646553   5024314  0.101235  1544  0.075729  0.0083 0.000764 0.001010 0.003063 -0.019961  0.058371 -0.101563  45.3542500827 -110.7586832626  1544.07573
P461 05NOV02 2005.8371 53676 1347 3 -110.8   3237  0.648556   5024314  0.101574  1544  0.087870  0.0083 0.000750 0.001014 0.003025 -0.012316  0.050841 -0.123686  45.3542500856 -110.7586832376  1544.08787
P461 05NOV03 2005.8398 53677 1347 4 -110.8   3237  0.645797   5024314  0.100901  1544  0.094085  0.0083 0.000726 0.000995 0.002906  0.019627 -0.002888 -0.098851  45.3542500793 -110.7586832733  1544.09409
