time[yrs],velocity[m/yr]
2006.8,0.00287
2007.0,0.00465
2007.2,0.00734
2007.4,0.00912
2007.6,0.00991
2007.8,0.00889
2008.0,0.00579
2008.2,0.00219
2008.4,5e-05
2008.6,-0.00107
2008.8,-0.0016
2009.0,-0.001
2009.2,0.00035
2009.4,0.00129
2009.6,0.00162
2009.8,0.00187
2010.0,-7e-05
2010.2,-0.00489
2010.4,-0.00883
2010.6,-0.00882
2010.8,-0.00652
2011.0,-0.00373
2011.2,-0.00067
2011.4,0.00225
2011.6,0.00554
2011.8,0.00801
2012.0,0.00816
2012.2,0.00661
2012.4,0.00471
2012.6,0.00224
2012.8,-0.00065
2013.0,-0.0028
2013.2,-0.00317
2013.4,-0.00293
2013.6,-0.00248
2013.8,-0.00112
2014.0,-0.00036
2014.2,-0.00019
2014.4,0.00033
2014.6,0.00092
2014.8,0.00112
2015.0,0.00192
2015.2,0.00358
2015.4,0.00455
2015.6,0.00456
2015.8,0.00355
2016.0,0.00202
2016.2,-0.00032
2016.4,-0.00293
2016.6,-0.00494
2016.8,-0.00573
2017.0,-0.00516
2017.2,-0.00433
2017.4,-0.00328
2017.6,-0.00188
2017.8,-0.00056
2018.0,0.00047
2018.2,0.00072
2018.4,0.00061
2018.6,0.00079
2018.8,0.00089
2019.0,0.00034
2019.2,-0.00028
2019.4,-0.00054
2019.6,-0.00124
2019.8,-0.00166
2020.0,-0.00129
2020.2,-0.00028
2020.4,0.00099
2020.6,0.00208
2020.8,0.00292
2021.0,0.00261
2021.2,0.00138
2021.4,-0.00042
2021.6,-0.00288
2021.8,-0.00452
2022.0,-0.00438
2022.2,-0.00399
2022.4,-0.00391
2022.6,-0.00309
2022.8,-0.00252
2023.0,-0.00261
2023.2,-0.00271
2023.4,-0.00219
2023.6,-0.00121
2023.8,8e-05
2024.0,0.00089
2024.2,0.00108
2024.4,0.00123
2024.6,0.00117
